id,year,crop,yield_t_ha
0,2018,corn,4.73
0,2019,fallow,2.7
0,2020,fallow,2.27
0,2021,fallow,4.08
0,2022,wheat,2.56
1,2018,soybean,3.94
1,2019,fallow,2.08
1,2020,sunflower,3.97
1,2021,fallow,1.28
1,2022,soybean,3.93
2,2018,fallow,2.81
2,2019,sunflower,1.24
2,2020,soybean,2.6
2,2021,sunflower,1.7
2,2022,corn,2.4
3,2018,sunflower,2.65
3,2019,sunflower,2.51
3,2020,sunflower,3.61
3,2021,soybean,1.41
3,2022,sunflower,4.4
4,2018,sunflower,2.31
4,2019,soybean,2.65
4,2020,wheat,1.54
4,2021,wheat,3.67
4,2022,corn,4.01
5,2018,wheat,4.91
5,2019,fallow,3.96
5,2020,wheat,3.99
5,2021,sunflower,4.62
5,2022,soybean,2.73
6,2018,wheat,2.39
6,2019,fallow,4.14
6,2020,corn,1.87
6,2021,fallow,4.05
6,2022,corn,2.9
7,2018,soybean,3.71
7,2019,fallow,4.37
7,2020,soybean,2.88
7,2021,soybean,3.37
7,2022,soybean,1.34
8,2018,wheat,1.55
8,2019,corn,2.67
8,2020,soybean,2.8
8,2021,corn,2.5
8,2022,fallow,2.05
9,2018,fallow,2.58
9,2019,soybean,2.48
9,2020,corn,2.88
9,2021,sunflower,3.14
9,2022,fallow,3.68
10,2018,wheat,2.56
10,2019,sunflower,4.89
10,2020,fallow,3.96
10,2021,soybean,2.37
10,2022,fallow,2.59
11,2018,soybean,4.96
11,2019,wheat,2.8
11,2020,soybean,3.98
11,2021,wheat,3.0
11,2022,corn,4.67
